Anthony, The Temptations of St - London;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1530-1540;Oil on panel;22 x 34
370;Anthony, The Temptations of St - Private collection Brussels;Probably Jan Mandijn;16th century;Oil on panel;60 x 150
371;Anthony, The Temptations of St - Private collection Brussels;Along the line of Jan Mandijn, Pieter Huys or Jan de Cock;16th-century;Oil on panel;55 x 65 (RKD) or 53 x 60 (balat,kikirpa)
372;Anthony, The Temptations of St - Private collection Brussels;Patinir, Joachim (ca. 1480 - 1524) - Probably;c. 1520;Oil on wood;30 x 37
373;Anthony, The Temptations of St - Private collection Detroit;Anonymous;1525-1574;Oil on panel;44,5 x 101
374;Anthony, The Temptations of St - Private collection Lucerne - Luzern;Anonymous;1500-1524;Oil on panel;67 x 40
375;Anthony, The Temptations of St - Rome;Bruegel, Pieter the Elder (1525 - 1569) or Mandijn, Jan (c. 1500 - c.1560);1550 - 1569;Oil on canvas;145 x 210
376;Anthony, The Temptations of St - Rotterdam;Wijngaerde Frans van den (1614 - 1679);;Engraving;19 x 26,5
377;Anthony, The Temptations of St - Rotterdam;Brothers Van Doetecum;1561;Engraving;32,1 x 42,7
378;Anthony, The Temptations of St - Salzburg;Anonymous;1500 - 1525;Oil on canvas;90 x 150
379;Anthony, The Temptations of St - San Diego;Savoldo, Giovanni Gerolamo (1480 - 1548);1515 -1520;Oil on panel;69,5 x 119,4
380;Anthony, The Temptations of St - San Francisco;Wellens de Cock, Jan (1478 - c. 1528);1526;Oil on wood;48,6 x 61,6
381;Anthony, The Temptations of St - Sankt Gallen;Teniers, David II (1610 - 1690);;Oil on copper;56 x 38
382;Anthony, The Temptations of St - Schwerin;David Teniers The Younger (1610-1690);;;18 x 25
383;Anthony, The Temptations of St - Senlis;Teniers, David The Younger (1610 - 1690);17th-century;;
384;Anthony, The Temptations of St - St Petersburg;Teniers, David The Younger (1610 - 1690);1644 - 1646;Oil on copper;36,4 x 47,3
385;Anthony, The Temptations of St - St Petersburg;Teniers, David The Younger (1610 - 1690);c. 1650;Oil on canvas;99 x 132
386;Anthony, The Temptations of St - Stanford;Anonymous;16th-century;;
387;Anthony, The Temptations of St - Stockholm;Anonymous - Flemish painter. Probably David Teniers or Follower;;Oil on panel - Oval;41,8 x 56,5
388;Anthony, The Temptations of St - Stockholm;David Teniers The Younger (1610-1690);;Oil on oak;41 x 35
389;Anthony, The Temptations of St - Stuttgart;Wellens de Cock, Jan (1478 - c. 1528) (Follower?);c. 1525 - 1530;Oil on panel;62 x 95,5
390;Anthony, The Temptations of St - Tarnowski Góry;David Teniers The Younger (1610-1690);1635-1650;;
391;Anthony, The Temptations of St - Tiel;Wellens de Cock, Jan (1478 - c. 1528) - Probably;c. 1525;Oil on panel;50 x 35 (central panel); 50 x 22 (side panels)
392;Anthony, The Temptations of St - Tokyo;Teniers, David The Younger (1610 - 1690);1665 - 1670;Oil on canvas;80 x 100
393;Anthony, The Temptations of St - Trier;Anonymous;;Oil on wood;58 x 73 - (Unverfehrt: 23 x 15!)
394;Anthony, The Temptations of St - Ukkel - Private collection;Anonymous;;Oil on panel;
395;Anthony, The Temptations of St - Unknown Auction -;Keuninck, Kerstiaen de (1560 - 1632);;Oil on panel;38,7 x 61,3
396;Anthony, The Temptations of St - Utrecht;Venne, Jan van de (1590 - 1651);1625 - 1649;;
397;Anthony, The Temptations of St - Valenciennes;Jan Mandijn (c. 1500-1560);Circa 1550;Oil on wood;53,1 x 83,2
398;Anthony, The Temptations of St - Valladolid;Bruegel, Jan the Elder (1568 - 1625);After 1600;Oil on canvas;148 x 230
399;Anthony, The Temptations of St - Velp N.Br.;Anonymous;c. 1615;Two-sided panel of a polyptych;
400;Anthony, The Temptations of St - Venice;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1540 - 1550;Oil on wood;76 x 95
401;Anthony, The Temptations of St - Venice;Anonymous - school of Jheronimus Bosch;1550-1600;Oil on wood;146 x 259
402;Anthony, The Temptations of St - Vienna;Mandijn Jan (c. 1500 - 1560) - Possibly;1540-1560;Oil on wood;120 x 120
403;Anthony, The Temptations of St - Vienna;Monogrammist MR;End 15th-century;Engraving;15,9 x 11,5
404;Anthony, The Temptations of St - Vienna;Saftleven, Cornelis (1607 - 1681);1629;Oil on wood;
405;Anthony, The Temptations of St - Vienna;Mandijn Jan (c. 1500 - 1560);;Oil on wood;69,5 x 90
406;Anthony, The Temptations of St - Vienna;Venne, Jan van de (1590 - 1651);;;
407;Anthony, The Temptations of St - Vienna;Teniers, David II (1610 - 1690);;Oil on panel;34 x 51
408;Anthony, The Temptations of St - Vienna;Huys, Pieter (1519 - 1581);16th-century;Oil on panel;33,5 x 48,5
409;Anthony, The Temptations of St - Vienna;Rijckaert, David III (1612 - 1661);17th-century;Oil on canvas;85 x 62
410;Anthony, The Temptations of St - Vienna;Anonymous - Follower of Jan Mandijn;;Oil on panel;45 x 57
411;Anthony, The Temptations of St - Vienna;Firens, Pierre (1580 - 1638);1600-1638;Engraving;
412;Anthony, The Temptations of St - Vienna;Heemskerck, Egbert van II (1666/1686 - 1746);;Oil on panel;34,5 x 45,5
413;Anthony, The Temptations of St - Vienna;Anonymous;1550-1600;Oil on wood;55 x 71
414;Anthony, The Temptations of St - Vienna;Sebastiano Ricci (1659 - 1734);;Oil on Canvas;85 x 120
415;Anthony, The Temptations of St - Vienna;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1540/1550;Oil on panel;16 (cross-cut); 25,3 x 3
416;Anthony, The Temptations of St - Vienna;Master J. Kock (active 1520-1540);1520 - 1540;Woodcut;26,3 x 38,3
417;Anthony, The Temptations of St - Vienna;Bruegel Jan The Elder (1568 - 1625);;Oil on copper;45 x 63,5
418;Anthony, The Temptations of St - Vienna;Peter Kunst (1490 - 1542);;Black pen;13,4 x 21,3
419;Anthony, The Temptations of St - Vienna;Bruegel, Jan the Elder (1568 - 1625);1603-1604;Oil on copper;20,8 x 29
420;Anthony, The Temptations of St - Vienna;Huys, Pieter (1519 - 1581);Vienna - Austria - Palais Dorotheum 2020;Oil on panel;48,5 x 61
421;Anthony, The Temptations of St - Vienna - Art Dealer Silberman;Anonymous;;Oil on panel;55 x 65
422;Anthony, The Temptations of St - Vienna - Dorotheum;Saftleven, Cornelis (1607 - 1681);1622 -1681;Oil on panel;32 x 62,5
423;Anthony, The Temptations of St - Vienna - Dorotheum;David Teniers The Younger (1610-1690) - Circle;;Oil on Canvas;57 x 85
424;Anthony, The Temptations of St - Vienna - Dorotheum;Saftleven, Cornelis (1607 - 1681);;Oil on canvas;84 x 102
425;Anthony, The Temptations of St - Vienna - Dorotheum;Anonymous;;Oil on panel;40,5 x 32
426;Anthony, The Temptations of St - Vienna - Dorotheum;Anonymous;;Oil on panel;55,5 x 42,5
427;Anthony, The Temptations of St - Vienna - Dorotheum - 2022;Anonymous;1500-1549;Oil on panel;46 x 32
428;Anthony, The Temptations of St - Vienna - Dorotheum 2021;Anonymous;;Oil on panel;23,5 x 32, Framed
429;Anthony, The Temptations of St - Vienna - Kinsky - 2021;Bril, Paul (1554 -1626);17th-century;Oil on canvas;79 x 108
430;Anthony, The Temptations of St - Vienna - Schatzker;Anonymous;1500-1550;Oil on panel;35 x 44
431;Anthony, The Temptations of St - Warsaw;Anonymous;c. 1520;Oil on panel;67 x 71
432;Anthony, The Temptations of St - Warsaw;Jan Wellens de Cock (1480 - 1527);c. 1524;Oil on wood;45 x 57
433;Anthony, The Temptations of St - Warsaw;Bruegel, Pieter the Younger (c. 1564 - 1638));c. 1600;Oil on Panel;33 x 58,7
434;Anthony, The Temptations of St - Washington;Jacques Callot (1592 - 1635);c. 1617;Etching;
435;Anthony, The Temptations of St - Washington;Pieter Bruegel the Elder (1525-1569) or Follower;1550-1575;OIl on wood;58,5 x 85,7
436;Anthony, The Temptations of St - Washington;Le Bas, Jacques Phillippe (1707 - 1783);;Engraving;37,1 x 49
437;Anthony, The Temptations of St - Washington;Wellens de Cock, Jan (1478 - c. 1528);1522;Woodcut;
438;Anthony, The Temptations of St - West Palm Beach;Jan Wellens de Cock (1480 - 1527);c. 1526;Oil on wood;54,6 x 67,3
439;Anthony, The Temptations of St - Whereabouts unknown;Helmont, Mattheus van (1623 - 1679);;Oil on wood;50 x 65
440;Anthony, The Temptations of St - Whereabouts unknown;Anonymous;;Oil on Canvas;63,50 x 71,12
441;Anthony, The Temptations of St - Whereabouts unknown;Anonymous;16th-century;Oil on Panel;30 x 42
442;Anthony, The Temptations of St - Whereabouts unknown;Pozzoserrato Ludovico (c. 1550 - c. 1605) ook bekend als Lodewijk Toeput;c. 1600;Oil on Canvas;111,8 x 156,9
443;Anthony, The Temptations of St - Whereabouts unknown;Anonymous;16th-century;Oil on Canvas;22 x 30
444;Anthony, The Temptations of St - Whereabouts unknown;Anonymous;16th-century;;
445;Anthony, The Temptations of St - Whereabouts unknown;Anonymous;;;
446;Anthony, The Temptations of St - Whereabouts unknown;Craesbeeck Joos van (1625 - 1660);1654;;54,5 x 41
447;Anthony, The Temptations of St - Whereabouts unknown;Anonymus;;Oil on oak panel;60 x 97,5
448;Anthony, The Temptations of St - Whereabouts unknown;Craesbeeck Joos van (1625 - 1660);c. 1650;;
449;Anthony, The Temptations of St - Whereabouts unknown;Pieter Huys (c. 1519 - 1586);1525 - 1574;Oil on wood;109,2 x 149,9
450;Anthony, The Temptations of St - Whereabouts unknown;Jan Wellens de Cock (1480 - 1527);;;
451;Anthony, The Temptations of St - Whereabouts unknown;Anonymous;;Panel;36,5 x 25
452;Anthony, The Temptations of St - Whereabouts unknown;David Teniers The Younger (1610-1690);1635;Oil on panel;41 x 32
453;Anthony, The Temptations of St - Whereabouts unknown;Balten, Pieter (1525 - 1584);;Oil on wood;30,5 x 24
454;Anthony, The Temptations of St - Whereabouts unknown;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1540 - 1550;;
455;Anthony, The Temptations of St - Whereabouts unknown;Anonymous - Follower Joachim Patinir;1500-1549;Oil on panel;
456;Anthony, The Temptations of St - Whereabouts unknown;Gillis van Coninxloo (1544 - 1607);c. 1595;Oil;57,3 x 42,3
457;Anthony, The Temptations of St - Whereabouts unknown;Anonymous - Probably Mandijn Jan (c. 1500 - 1560);;Oil on Panel;23 x 33
458;Anthony, The Temptations of St - Whereabouts unknown;Anonymous;;;
459;Anthony, The Temptations of St - Whereabouts unknown;Craesbeeck Joos van (1625 - 1660) - Follower;;Oil on Canvas;60 x 78
460;Anthony, The Temptations of St - Whereabouts unknown;Huys, Pieter (1519 - 1581);;;
461;Anthony, The Temptations of St - Whereabouts unknown;Kerstiaen de Keuninck (1560 - 1632);;Oil on Panel;38,7 x 61,3
462;Anthony, The Temptations of St - Whereabouts unknown;Helmont, Mattheus van (1623 - 1679);;Oil on Canvas;38,7 x 57,1
463;Anthony, The Temptations of St - Whereabouts unknown;Helmont, Mattheus van (1623 - 1679);;Oil on wood;33 x 26
464;Anthony, The Temptations of St - Wimborne Minster, Dorset;Huys, Pieter (1519 - 1581);;Oil on panel;18 x 22
465;Anthony, The Temptations of St - Zaltbommel;Heck Claes Dircksz. van der (1595/1600-1649);1648;Oil on panel;37 x 52
466;Anthony, The Temptations of St - Zurich;Anonymous;c. 1550;;69 x 89,8
467;Anthony, The Temptations of St - Zurich;Anonymous;Probably Bles, Herri met de (c. 1480/1510 - c. 1550/1555);Oil on Panel;45 x 57
468;Anthony, The Temptations of St - Zurich;Wellens de Cock, Jan (1478 - c. 1528);;Oil on Panel;27,7 x 37,2
469;Anthony, The Temptations of St - Zurich;Anonymous;17th century;Oil on panel;35 x 53,9
470;Anthony, The Temptations of St (copy closed panels of the Lisbon triptych) - Brussels;Anonymous;c. 1525- 1530;Oil on wood;130,5 x 52,5 (each)
471;Anthony, The Temptations of St (copy of the Lisbon central panel) - Antwerp;Anonymous;XVIB c. 1550;Oil on wood;88 x 71
472;Anthony, The Temptations of St (copy of the Lisbon central panel) - Belgrade;Anonymous;;Tempera on panel;52 x39
473;Anthony, The Temptations of St (copy of the Lisbon central panel) - Cologne - Lempertz;Anonymous;1525 - 1549;Oil on panel;73 x 71
474;Anthony, The Temptations of St (copy of the Lisbon central panel) - Dijon;Anonymous;1550 - 1600;Oil on canvas;117,5 x 110,3
475;Anthony, The Temptations of St (copy of the Lisbon central panel) - Indianapolis;Anonymous;1575 - 1600;Oil;60.3 x 48,9
476;Anthony, The Temptations of St (copy of the Lisbon central panel) - Merion Station;Anonymous;Around 1550;Oil on panel;69,9 x 51,8
477;Anthony, The Temptations of St (copy of the Lisbon central panel) - Rotterdam;Anonymous;After 1539;Oil on Baltic wood;50 x 39,5
478;Anthony, The Temptations of St (copy of the Lisbon central panel) - Sao Paulo;Anonymous;C. 1500 - 1550;Oil on panel;128,5 x 102
479;Anthony, The Temptations of St (copy of the Lisbon central panel) - Vienna - Dorotheum 2022;Anonymous;;Oil on panel;33 x35 framed
480;Anthony, The Temptations of St (copy of the Lisbon central panel) - Zagreb;Anonymous;;;
481;Anthony, The Temptations of St (copy of the Lisbon inner side-panels) - Paris - Gallery De Jonckheere;Anonymous;;Oil on panel;115,4 x 43 (2x)
482;Anthony, The Temptations of St (copy of the Lisbon interior panels) - Berlin;Anonymous;c. 1580;Oil on wood;79 x 73 central panel; 90 x 49 side-panels
483;Anthony, The Temptations of St (copy of the Lisbon interior panels) - Brussels;Anonymous;1567;Oil on Baltic oak;58 x 66,3 - (53 x 60)
484;Anthony, The Temptations of St (copy of the Lisbon interior panels) - Munich - Art Trade Julius Bohler;Anonymous;1525-1549;Oil on panel;Center panel: 83 x 72; Side panels 91 x 37
485;Anthony, The Temptations of St (copy of the Lisbon interior side-panels) - Hazebrouck;Anonymous;XVI;Oil on panel;52,2 x 38,8
486;Anthony, The Temptations of St (copy of the Lisbon left and right inner panels) - Dessau;Anonymous;16th-century;Oil on panel;53 x 14 (2x)
487;Anthony, The Temptations of St (copy of the Lisbon left and right inner panels) - Escorial;Anonymous;After 1520 In the same way as Jan Mandijn probably 1550-1560;Oil on panel;88 x 72 central panel; 90 x 37 side-panels
488;Anthony, The Temptations of St (copy of the Lisbon left inner panel) - Boulogne-sur-Mer;Anonymous;;Oil on wood;115,4 x 43
489;Anthony, The Temptations of St (copy of the Lisbon triptych) - Brussels;Anonymous;c. 1525 - 1530;Oil on wood;133 x 118 (central panel); 130,5 x 52,5 (side-panels)
490;Anthony, The Temptations of St (Detail) - Antwerp;Vos, Maerten de (1532 - 1603) - School or Circle;;;46,6 x 176 (whole painting)
491;Anthony, The Temptations of St (fol. 106) - Berlin;Masters of the Antwerp sketch-book (Inv.no. 79 C 2, fol.106);1525 - 1550;Paper, pen in washed grey;19,0 x 26,0
492;Anthony, The Temptations of St (fol. 107) - Berlin;Masters of the Antwerp sketch-book;1525 - 1550;Paper, pen in washed grey;19,0 x 26,0
493;Anthony, The Temptations of St (fol. 109) - Berlin;Masters of the Antwerp sketch-book;1525 - 1550;Paper, pen in washed grey;19,0 x 26,0
494;Anthony, The Temptations of St (fol. 110) - Berlin;Masters of the Antwerp sketch-book;1525 - 1550;Paper, pen in washed grey;19,0 x 26,0
495;Anthony, The Temptations of St (fol. 112) - Berlin;Masters of the Antwerp sketch-book;1525 - 1550;Paper, pen in washed grey;19,0 x 26,0
496;Anthony, The Temptations of St (fol. 112v) - Berlin;Masters of the Antwerp sketch-book;1525 - 1550;Paper, pen in washed grey;19,0 x 26,0
497;Anthony, The Temptations of St (fol. 113) - Berlin;Masters of the Antwerp-sketch-book;1525 - 1550;Paper, pen in washed grey;19,0 x 26,0
498;Anthony, The Temptations of St (fol. 115) - Berlin;Masters of the Antwerp sketch-book;1525 - 1550;Paper, pen in washed grey;19,0 x 26,0
499;Anthony, The Temptations of St (fol. 116) - Berlin;Masters of the Antwerp sketch-book;1525 - 1550;Paper, pen in washed grey;19,0 x 26,0
500;Anthony, The Temptations of St (partial copy of the Lisbon central panel) - 's-Hertogenbosch;Anonymous;1540 - 1570;Oil on panel;68,7 x 86,9
501;Anthony, The Temptations of St (partial copy of the Lisbon central panel) - 's-Hertogenbosch;Jan Mandijn (1500 - 1560);1539;Oil on wood;42,5 x 52,3
502;;Bles, Herri met de (c. 1480/1510 - c. 1550/1555);1540 - 1550; Unverfehrt 1550-1600;Oil on wood;31,5 x 47,5
503;Anthony, The Temptations of St (partial copy of the Lisbon central panel) - London - Sotheby's;Herri met de Bles (c. 1480/1510 - c. 1550/1555) - probably;;Oil on panel;37,5 x 56,5
504;Anthony, The Temptations of St (partial copy of the Lisbon central panel) - New York;Anonymous;16th century;Oil on canvas;33,2 x 43
505;Anthony, The Temptations of St (partial copy of the Lisbon central panel) - Paris - De Jonckheere;Huys, Pieter (1519 - 1581);17th century;Oil on panel;56,8 x 28 - Wikipedia 37,5 x 56,5
506;Anthony, The Temptations of St (partial copy of the Lisbon central panel) - Stockholm - Art Dealer Hulten;Anonymous;1525-1550;Oil on panel;71 x 58
507;Anthony, The Temptations of St (partial copy of the Lisbon central panel) - The Hague - Gallery Cramer;Anonymous;After 1550 (Unverfehrt);Oil on wood;80,5 x 70,5
508;Anthony, The Temptations of St (tapestry) - Madrid;Anonymous;1550 - 1570;Tapestry;296 x 358 or 298 x 373
509;Anthony, The Temptations of St / St Jerome - Zurich;Wellens de Cock, Jan (1478 - c. 1528);;Oil on panel;48,5 x 25,5 (2x)
510;Anthony, The Temptations of St / St Christopher - Diptych - Turin;Huys, Pieter (1519 - 1581);;Oil on oak;28 x 38
511;Anthony, The Temptations of St. - (with St Christopher) - Private collection Cologne;Anonymous;1520-1540;;59,7 x 93,2
512;Anthony, The Temptations of St. - Amsterdam - Christies 2011;Heck Claes Dircksz. van der (1595/1600-1649);1601;Oil on panel;43 x 56,7
513;;Anonymous;;Oil on panel;83 x 72
514;Anthony, The Temptations of St. - Lausanne - Crissier;Swanenburgh Jacob Isaakzn van, (1571 - 1638);;Oil on oak panel, strengthened;51 x 46
515;Anthony, The Temptations of St. - London - Sotheby's 2021;Anonymous;17th-century;Oil on canvas;37,6 x 47,3
516;Anthony, The Temptations of St. - Oirschot;Joseph Heintz de J. (1600 - 1678);c. 1660;Oil on canvas;63 x 71
517;Anthony, The Temptations of St. - St. Petersburg;Sebastiano Ricci (1659-1734) - Antonio Francesco Peruzzi (1646/1647 - 1724);1706/1707;Oil on canvas;115 x 93
518;Anthony, The Temptations of St. - Vienna;Pierre Firens (1580 - 1638);;Engraving;70,5 x 54 x 8,4 (Outside dimension)
519;Anthony, The Temptations of St. - Vienna;Sebastiano Ricci (1659 - 1734);;Oil on canvas;85 x 120
520;Anthony, The Temptations of St. - Vienna - Dorotheum;Anonymous Flemish Follower;1550 - 1600;Oil on wood;55 x 71
521;Anthony, The Temptations of, St - Vienna - Dorotheum 2021;David Teniers The Younger (1610-1690);;Oil on panel;24,5 x 32, Framed
522;Arrest of Christ, The - 's-Hertogenbosch;Anonymous Flemish painter;1520 - 1540;Oil on panel;51,2 x 80,8
523;Arrest of Christ, The - Brussels - Fiviez;Anonymous;16th century;Oil on panel;53 x 74,5
524;Arrest of Christ, The - San Diego;Anonymous;c. 1515;Oil and Tempera on Panel;50,4 x 81,1
525;Battle between Carnival and Lent, The - 's-Hertogenbosch;Anonymous;c. 1540;Oil on panel;59,3 x 118,3
526;Battle between Carnival and Lent, The - Antwerp;Anonymous;c. 1560;Oil on wood;67 x 236,8
527;Battle between Carnival and Lent, The - Boston;Pieter Bruegel the Elder (1525-1569) - Circle;16th-century;Oil on Panel;36,5 x 63,5
528;Battle between Carnival and Lent, The - Brussels;Pieter Bruegel the Younger ((1564 - 1638);;Oil on wood;121.3 x 171,5
529;Battle between Carnival and Lent, The - London;Bruegel, Pieter the Younger (c. 1564 - 1638)) - circle;1600-1638;Oil on panel;70,9 x 104,1
530;Battle between Carnival and Lent, The - London - Sotheby's;Anonymous;;Oil on panel;56,5 x 214
531;Battle between Carnival and Lent, The - London Sotheby's;Bruegel, Pieter the Younger (c. 1564 - 1638));;Oil on oak panel;117 x 165
532;Battle between Carnival and Lent, The - Utrecht/Amsterdam;Anonymous;c.1600;Oil on oak panel;74,7 x 240
533;Battle between Carnival and Lent, The - Vienna;Anonymous;16th century;Oil on panel;96 x 167
534;Battle between Carnival and Lent, The - Vienna;Pieter Bruegel the Elder (1525-1569);1559;Oil on wood;118 x 164
535;Battle Elephant, The - 's-Hertogenbosch;Master of the St. Joriskermis (active 1550-1570) after Alaert Duhameel;c. 1550;Engraving on copper;40,2 x 54
536;Battle Elephant, The - Florence/ Firenze;Anonymous after Jheronimus Bosch;;Oil on canvas;18,7 x 23,5
537;Battle Elephant, The - London;Alaert du Hameel (1449 - 1509) - or Duhamel or Duhameel;1478-1506;Engraving - paper;20,3 x 33,6
538;Battle Elephant, The - London;Doetecum, Johannes ( active 1554 - 1605) and/or Lucas (active 1554 - 1572) - After Alart du Hameel and Jheronimus Bosch;1563;Engraving;40,2 x 54
539;Battle Elephant, The - New York - Art Dealer Tunick;Brothers Van Doetecum;;Engraving;40,2 x 53,8
540;Battle Elephant, The - Private collection;Anonymous;;;
541;Battle Elephant, The - Private collection;Hameel, Alaert du (1449 - 1509), also called Duhameel - After Jheronimus Bosch;1558;Aquarel on canvas;15,3 x 20,3
542;Battle Elephant, The - Rotterdam;Johannes ( active 1554 - 1605) and/or Lucas (active 1554 - 1572) Doetecum;c. 1550;Engraving and Etching;40,2 x 54
543;Battle Elephant, The - Vienna;Anonymous;16th century;;39,7 x 53,2
544;Battle Elephant, The - Vienna;Hameel, Alaert du (1449 - 1509), also called Duhameel - After Jheronimus Bosch;1478 - 1494;Engraving;20,4 x 33,5
545;Battle Elephant, The (Valois tapestries) - Florence/Firenze;Master MGP in Brussels (active 1570-1590);c. 1576;Tapestery, gold, silver, silk and wool;382 x 468
546;Beggars and Criples (31) - London;Anonymous;c. 1570;Engraving;30,3 x 21,9
547;Beggars and Criples (31) - Rotterdam;Anonymous;1550-1570;Engraving;28,7 x 22,2
548;Beggars and Cripples - Vienna;Anonymous;;Grey-brown pen and paper;28,5 x 20,8
549;Beggars and Cripples (21) - 's-Hertogenbosch;Anonymous after Jheronimus Bosch;1599;Engraving - ink and paper;16 x 25
550;Beggars and Cripples (21) - London;Anonymous;1599;Engraving;16,2 x 25,3
551;Beggars and Cripples (26) - Detroit;Anonymous;15-16th century;Engraving printed in black ink on laid paper;21 x 31,4
552;Beggars and Cripples (31) - 's-Hertogenbosch;Pieter van der Heyden (1530 - c. 1572) after Jheronimus Bosch;c. 1550-1600;Engraving;30 x 22,1
553;Beggars and Cripples (31) - Amsterdam;Anonymous;1570-1601;Engraving - Paper;29,8 x 21,9
554;Beggars and Cripples (study sheet) - Brussels;Probably Pieter Bruegel the Elder (1525-1569) after Jheronimus Bosch;;Pen and brown Ink on paper;26,5 x 19,8
555;Big Fish eat Little Fish - Caricature - Amsterdam;Anonymus after Jheronimus Bosch, Pieter Bruegel and Pieter van der Heijden;1619;Engraving, paper;24,8 x 31,8
556;Big Fish eat Little Fish - New York;Anonymous - After Maarten de Vos - also called Maerten;c. 1580;Engraving I/II;23,7 x 29,3
557;Big Fish eat Little Fish - New York;Pieter van der Heyden - After Jheronimus Bosch, Pieter Bruegel;1557;Engraving I of IV;
558;Big Fish eat Little Fish - Rotterdam;Anonymous;;Etching;37,8 x 50
559;Big Fish eat Little Fish - Rotterdam;Anonymous after Maerten de Vos;;Engraving;23,4 x 29,3
560;Big Fish eat Little Fish - Vienna;Bruegel, Pieter the Elder (1525 - 1569);1556;Pen and brush in gray and black;21,6 x 30,7
561;Blind leading the blind, The - Amsterdam;Pieter van der Heijden (c. 1530 - c. 1572);1540-1570;Engraving on paper;20,9 x 25,3
562;Blind leading the blind, The - Berlin;Anonymous;18th-century;Oil on oak panel;27 x 40
563;Blind leading the blind, The - New York - Christies;Pieter Bruegel the Younger (1564-1638) - Circle;;Oil on Panel;33,3 x 46,4
564;;Abel Grimmer (c. 1570 - c. 1620);;Panel;28,5 x 31
565;Blind leading the Blind, The - Unknown;Sebastiaan Vrancx (1573 - 1647) , also called Sebastien of Sebastiaen;;;
566;Blue Boat, The (De Blauwe Schuit) - Munich;Anonymous;;Sepia on handmade paper;19 x 23,5
567;Blue Boat, The (De Blauwe Schuit) (1st state) - Brussels;Pieter van der Heyden;1559;Copper engraving (1st state) - published by Hieronymus Cock, Antwerp;23,0 x 29,7
568;Blue Boat, The (De Blauwe Schuit) (2nd state) - Amsterdam;Anonymous;Circa 1650;Copper engraving (2nd state) - published by Johannes Galle, Antwerp;23,0 x 29,5
569;Burlesque Wedding Party - Bilbao;Frans Verbeeck the Elder (1510 - 1570) or Jan Mandijn (c. 1500 - c. 1560);c. 1550;Oil on oak panel;98,5 x 147
570;Burlesque Wedding Party - London Christies;Frans Verbeeck the Elder (1510 - 1570) - workshop;1550-1600;Oil on panel;83,9 x 139,9
571;Burlesque Wedding Party - Vienna - Dorotheum;Frans Verbeeck the Elder (1510 - 1570) - workshop;;Oil on panel;112 x 159
572;Burlesque Wedding Party - Zurich;Frans Verbeeck the Elder (1510 - 1570) - workshop;c. 1600;Oil on panel;111 x 147
573;;Heemskerck, Egbert van (1634 - 1704);c.1700;Oil on canvas;
574;Christ - Entombment - London;Anonymous - Workshop;1505-1515;Brush, black and grey ink, grey wash over black chalk on paper;25,3 x 30,5
575;Christ and the Woman taken in Adultery - Philadelphia;Anonymous - possibly Gielis Panhedel (c. 1490 - after 1557);16th century;Oil on panel;75,9 x 55,9
576;Christ before Pilate - 's-Hertogenbosch;Anonymous;1520 - 1530;Oil on panel;46,5 x 36,5
577;Christ before Pilate - Banbury;Anonymous;1495 - 1520;Oil on wood;88,3 x 28,9 (2x)
578;Christ before Pilate - Princeton;Anonymous;c. 1520;Oil and Tempera on panel;80 x 104
579;Christ before Pilate or Christ before Hannas - Sao Paulo;Anonymous;c. 1520 with Antwerps influence.;Oil on wood;61 x 77,5 (Unverfehrt and RKD 61,5 x 75
580;Christ Carrying the Cross - 's-Hertogenbosch;Lombard, Lambert (c. 1505 - 1566) - After;1563;Engraving - paper and ink;32,5 x 41
581;Christ Carrying the Cross - Amsterdam;Anonymous;1610-1650 designed by: Hieronymus Bosch (mentioned on object) and after Lambert Lombard;Engraving;32.4 x 41
582;Christ Carrying the Cross - Antwerp;Jan Mandijn (c. 1500-1560);1525 - 1540;Oil on wood;107 x 149
583;Christ Carrying the Cross - Bruges;Provoost, (or Provost) Jan (1463/1465 - 1529);1522;Oil on oak;50 x 40
584;Christ Carrying the Cross - Chicago;Anonymous;16th century;Oil on wood;56 x 86,5
585;;Lombard, Lambert (c. 1505 - 1566);c. 1700;Engraving - 4th edition;30,5 x 40,5
586;Christ Carrying the Cross - Lisbon;Massys, Quinten (1466 - 1530) - also Matsys or Metsys;1509-1513;Oil on Panel;82,5 x 82,5
587;Christ Carrying the Cross - London;Lombard, Lambert (c. 1505 - 1566) - After;c. 1560;Engraving on paper;32,2 x 40,4
588;Christ Carrying the Cross - New Haven;Cort, Cornelis (1533 - 1578);1548 - 1578 After Lambert Lombard after Jheronimus Bosch;Engraving;32 x 40
589;Christ Carrying the Cross - New York;Lambert Lombard (1505-1566);c. 1560;Engraving;
590;Christ Carrying the Cross - Private collection;Anonymous;16th-century;Oil on panel;78 x 90
591;Christ Carrying the Cross - Sacramento;Anonymous;1500 - 1510;Pen and pencil with brown ink on paper;25,3 x 20,1
592;;Anonymous - Possibly Lambert Lombard;16th-century;Pen in light brown, touched with black pen and paper;28,5 x 21,3 - Koreny 28,3 x 20,9
593;Christ Crowned with Thorns - Bern;Anonymous;16th century;Oil on panel;82 x 60
594;Christ Crowned with Thorns - Dijon;Anonymous;16th century;Oil on wood;40 x 30
